GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "48015","Austin, TX",6,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",38499,45147,52428,59847,64517,76543,89215,102104,110774,129988,153105,175650,208720,234880,252148,281261,298308,289373,282444,294398,311873,324113,346712,371332,388883,426201,443320,482228,533824,564017,589439,635942,704262,721211,754794,797601,882153,1006220,1086465,1187499,1100913,1114245,1178037,1328936,1318672,1420531,1498406,1435900,1444775,1520493
 "48015","Austin, TX",6,CAINC1,2,"...","Population (persons) 1/","Number of persons",13497,13855,14165,14118,14592,14682,15011,15186,15711,16226,17048,17863,18363,19408,20148,20588,20794,20812,20226,19638,19526,19891,20183,20643,21159,21414,21822,22107,22340,22723,23129,23836,24341,24818,25388,25976,26331,26828,27454,27935,28254,28362,28599,28561,28684,28972,29473,29636,29757,29989
 "48015","Austin, TX",6,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2852,3259,3701,4239,4421,5213,5943,6724,7051,8011,8981,9833,11366,12102,12515,13661,14346,13904,13964,14991,15972,16294,17178,17988,18379,19903,20315,21813,23895,24821,25485,26680,28933,29060,29730,30705,33502,37506,39574,42509,38965,39287,41192,46530,45972,49031,50840,48451,48552,50702
 "48017","Bailey, TX",6,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",27758,30040,23012,30387,47324,40633,41688,38700,40835,52470,66786,64286,96436,80506,89009,89123,95838,95045,109136,109283,101343,110817,109343,116478,139365,129714,131101,134393,140686,145469,164041,158834,167910,155327,165886,167737,189086,190302,195624,203572,187824,225965,244030,253604,258478,300487,322862,279599,310069,298694
 "48017","Bailey, TX",6,CAINC1,2,"...","Population (persons) 1/","Number of persons",8781,8444,8362,8685,8612,8532,8557,8342,8169,8035,8117,8201,8313,8138,8172,7899,7769,7823,7477,7376,7258,7031,6908,6757,6676,6618,6705,6673,6651,6695,6579,6596,6636,6637,6791,6945,7024,7001,6927,6979,7050,7154,7175,7141,7128,6970,7222,7185,7054,7027
 "48017","Bailey, TX",6,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3161,3558,2752,3499,5495,4762,4872,4639,4999,6530,8228,7839,11601,9893,10892,11283,12336,12149,14596,14816,13963,15761,15828,17238,20876,19600,19553,20140,21153,21728,24934,24080,25303,23403,24427,24152,26920,27182,28241,29169,26642,31586,34011,35514,36262,43111,44705,38914,43956,42507
 "48019","Bandera, TX",6,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",16402,19062,20067,25186,28962,32776,38219,41283,44493,50874,58506,67876,76854,90807,101718,121260,127455,136272,140093,145906,164205,169720,184150,200439,218305,243764,272770,307644,343237,385390,410287,474076,485597,492071,509971,537828,578845,618981,651579,706195,681879,675996,733427,792504,813074,855778,875694,891469,930830,991906
 "48019","Bandera, TX",6,CAINC1,2,"...","Population (persons) 1/","Number of persons",4553,4775,4916,5177,5762,5685,6013,6027,6283,6459,6685,7106,7173,7559,8098,8551,9109,9377,9798,10118,10376,10629,10805,11159,11797,12690,13690,14521,15252,16191,17039,17755,18125,18652,19044,19226,19428,19775,20254,20407,20365,20562,20542,20594,20560,20816,21148,21705,22324,22824
 "48019","Bandera, TX",6,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3602,3992,4082,4865,5026,5765,6356,6850,7081,7876,8752,9552,10714,12013,12561,14181,13992,14533,14298,14420,15825,15968,17043,17962,18505,19209,19925,21186,22504,23803,24079,26701,26792,26382,26779,27974,29794,31301,32170,34606,33483,32876,35704,38482,39546,41112,41408,41072,41696,43459
 "48021","Bastrop, TX",6,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",44070,48568,57786,66964,77068,88452,98426,114026,124616,148725,173365,198750,239371,275701,307869,357248,404465,429994,441703,462742,487782,532731,571282,617949,670164,727205,810769,882682,977147,1067053,1201552,1319596,1429991,1471361,1537115,1586901,1699263,1812294,1952018,2052776,2054795,2129217,2198673,2276642,2328707,2486618,2693269,2778993,2959429,3179953
